#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
160,25031511,EEEF RAIMUNDO EPAMINONDAS DE SOUSA,Pedra Branca,"RUA ANTONIO DE SOUSA OLIVEIRA, 384 - CENTRO",58790000,200Mbits
161,25039075,EEEFM ARLINDO BENTO DE MORAIS,Santa Luzia,"RUA ANTONIO MOISES, 264 - SAO JOSE",58600000,200Mbits
162,25067141,EEEFM FELINTO ELIZIO,Belém,"RUA SOLON DE LUCENA, 100 - CENTRO",58255000,200Mbits
163,25072099,ECI ASSIS CHATEAUBRIAND,Campina Grande,"AVENIDA TAVARES, 2500 - SANTO ANTONIO",58406175,200Mbits
164,25094599,EEEF JOSE VIEIRA,João Pessoa,"RUA ABDIAS GOMES DE ALMEIDA, SN - TAMBAUZINHO",58042100,200Mbits
165,25101072,EEEFM DR JOAO GONCALVES,Pitimbu,"AVENIDA SENADOR HUMBERTO LUCENA, 109 - CENTRO",58324000,200Mbits
166,25123696,EEEFM BENEDITA TARGINO MARANHAO,João Pessoa,"RUA JOAO JOSE SEABRA, SN - PENHA",58047050,200Mbits
167,25012967,EEEF MONS CONSTANTINO VIEIRA,Uiraúna,"DISTRITO DE QUIXABA DE CIMA, SN - DISTRITO DE QUIXABA",58915000,200Mbits
168,25016032,EEEF AMELIA MARIA DA LUZ,Pombal,"TRAVESSA CEL JOSE AVELINO, SN - PETROPOLIS",58840000,200Mbits
169,25018582,ENE JOSE DE PAIVA GADELHA,Sousa,"RUA JOSE DE PAIVA GADELHA, 127 - GATO PRETO",58802085,200Mbits
170,25020102,EEEFM FRANCISCO ROMANO DA SILVEIRA,Mãe d'Água,"RUA SAO SEBASTIAO, 05 - CENTRO",58740000,200Mbits
171,25068709,EEEF JOHN KENNEDY,Guarabira,"RUA JOHN KENNEDY, 515 - NOVO",58200000,200Mbits
172,25088572,EEEFM FLAVIO RIBEIRO COUTINHO,Cruz do Espírito Santo,"PRACA LOURIVAL LACERDA, SN - CENTRO",58337000,200Mbits
173,25092332,EEEF PROFESSORA DAGMAR MENDONCA LIMEIRA,João Pessoa,"AV-DOMINGOS JOSE DA PAIXAO, 1465 - MUSSU MAGRO",58066100,200Mbits
174,25094262,EEEF PROFESSOR JOAO JOSE DA COSTA,João Pessoa,"AV BARAO DE MAMANGUAPE-, 199 - TORRE",58040330,200Mbits
175,25120760,EEIEF CACIQUE INIGUACU,Marcação,"ALDEIA TRAMATAIA, SN - ALDEIA",58294000,200Mbits
176,25018078,EEEF ANDRE GADELHA,Sousa,"RUA VEREADOR JOSE FRANCISCO VIEIRA DE FIGUEIREDO, 88 - AREIAS",58801455,200Mbits
177,25051660,EEEFM ANA FERREIRA DA COSTA,Riacho de Santo Antônio,"PRACA SANTO ANTONIO, 80 - CENTRO",58465000,200Mbits
178,25058991,EEEFM PEDRO RIBEIRO DE LIMA,Riachão,"VENANCIO TOMAZ DE AQUINO, SN - CENTRO",58235000,200Mbits
179,25088220,EEIEF CACIQUE DOMINGOS BARBOSA DOS SANTOS,Rio Tinto,"RUA PRINCIPAL, SN - ALDEIA JARAGUA",58297000,200Mbits
180,25093746,EEEF PROF TERCIA BONAVIDES LINS,João Pessoa,"RUA VEREADOR FRANCISCO L CAVALCANTI, 315 - VALENTINA DE FIGUEIREDO",58064280,200Mbits
181,25002376,EEEF FABIO MARIZ MAIA,Catolé do Rocha,"DISTRITO CORONEL MAIA, SN - ZONA RURAL",58884000,200Mbits
